BusID: 1
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-17 11:50:00  |Stop G    |7         |30               |20%
2024-12-17 11:56:00  |Stop H    |7         |28               |18%
2024-12-17 12:03:00  |Stop I    |7         |26               |17%
2024-12-17 12:14:00  |Stop J    |7         |31               |20%
2024-12-17 12:23:00  |Stop A    |7         |34               |22%
2024-12-17 12:30:00  |Stop B    |7         |30               |20%
2024-12-17 12:39:00  |Stop C    |7         |22               |14%
2024-12-17 12:47:00  |Stop D    |7         |23               |15%
2024-12-17 12:59:00  |Stop E    |7         |27               |18%
2024-12-17 14:01:00  |Stop F    |1         |29               |19%
2024-12-17 14:09:00  |Stop G    |1         |31               |20%
2024-12-17 14:15:00  |Stop H    |1         |29               |19%
2024-12-17 14:22:00  |Stop I    |1         |31               |20%
2024-12-17 14:33:00  |Stop J    |1         |31               |20%
2024-12-17 14:42:00  |Stop A    |1         |31               |20%
2024-12-17 14:49:00  |Stop B    |1         |28               |18%
2024-12-17 14:58:00  |Stop C    |1         |32               |21%
2024-12-17 15:06:00  |Stop D    |1         |29               |19%
2024-12-17 15:18:00  |Stop E    |1         |28               |18%
2024-12-17 15:28:00  |Stop F    |1         |32               |21%
2024-12-17 15:36:00  |Stop G    |1         |40               |26%
2024-12-17 15:42:00  |Stop H    |1         |35               |23%
2024-12-17 15:49:00  |Stop I    |1         |37               |24%
2024-12-17 16:00:00  |Stop J    |1         |40               |26%
2024-12-17 16:09:00  |Stop A    |1         |32               |21%
2024-12-17 16:16:00  |Stop B    |1         |36               |24%
2024-12-17 16:25:00  |Stop C    |1         |45               |30%
2024-12-17 16:33:00  |Stop D    |1         |42               |28%
2024-12-17 16:45:00  |Stop E    |1         |54               |36%
2024-12-17 16:55:00  |Stop F    |1         |45               |30%
2024-12-17 17:03:00  |Stop G    |1         |58               |38%
2024-12-17 17:09:00  |Stop H    |1         |87               |57%
2024-12-17 17:16:00  |Stop I    |1         |109              |72%
2024-12-17 17:27:00  |Stop J    |1         |102              |68%
2024-12-17 17:36:00  |Stop A    |1         |102              |68%
2024-12-17 17:43:00  |Stop B    |1         |123              |82%
