{'level':'info','time':'2024-12-16 10:26:00','message':'Bus 4 has coming to Stop B. Passengers: +5, -4. Load: 63/80.'}
{'level':'info','time':'2024-12-16 10:28:00','message':'Bus 5 has coming to Stop C. Passengers: +8, -6. Load: 56/110.'}
{'level':'info','time':'2024-12-16 10:28:00','message':'Bus 7 has coming to Stop D. Passengers: +9, -2. Load: 66/85.'}
{'level':'info','time':'2024-12-16 10:29:00','message':'Bus 1 has coming to Stop A. Passengers: +1, -0. Load: 93/100.'}
{'level':'info','time':'2024-12-16 10:29:00','message':'Bus 3 has coming to Stop B. Passengers: +5, -13. Load: 49/150.'}
{'level':'info','time':'2024-12-16 10:31:00','message':'Bus 6 has coming to Stop D. Passengers: +10, -0. Load: 68/90.'}
{'level':'info','time':'2024-12-16 10:33:00','message':'Bus 2 has coming to Stop B. Passengers: +3, -7. Load: 80/150.'}
{'level':'info','time':'2024-12-16 10:35:00','message':'Bus 4 has coming to Stop C. Passengers: +6, -4. Load: 65/80.'}
{'level':'info','time':'2024-12-16 10:36:00','message':'Bus 1 has coming to Stop B. Passengers: +3, -17. Load: 79/100.'}
{'level':'info','time':'2024-12-16 10:36:00','message':'Bus 5 has coming to Stop D. Passengers: +8, -9. Load: 55/110.'}
{'level':'info','time':'2024-12-16 10:38:00','message':'Bus 3 has coming to Stop C. Passengers: +5, -13. Load: 41/150.'}
{'level':'info','time':'2024-12-16 10:40:00','message':'Bus 7 has coming to Stop E. Passengers: +0, -8. Load: 58/85.'}
{'level':'info','time':'2024-12-16 10:42:00','message':'Bus 2 has coming to Stop C. Passengers: +4, -5. Load: 79/150.'}
{'level':'info','time':'2024-12-16 10:43:00','message':'Bus 4 has coming to Stop D. Passengers: +9, -18. Load: 56/80.'}
{'level':'info','time':'2024-12-16 10:43:00','message':'Bus 6 has coming to Stop E. Passengers: +2, -20. Load: 50/90.'}
{'level':'info','time':'2024-12-16 10:45:00','message':'Bus 1 has coming to Stop C. Passengers: +4, -21. Load: 62/100.'}
{'level':'info','time':'2024-12-16 10:46:00','message':'Bus 3 has coming to Stop D. Passengers: +4, -5. Load: 40/150.'}
{'level':'info','time':'2024-12-16 10:48:00','message':'Bus 5 has coming to Stop E. Passengers: +3, -9. Load: 49/110.'}
{'level':'info','time':'2024-12-16 10:50:00','message':'Bus 2 has coming to Stop D. Passengers: +5, -16. Load: 68/150.'}
{'level':'info','time':'2024-12-16 10:50:00','message':'Bus 7 has coming to Stop F. Passengers: +4, -10. Load: 52/85.'}
{'level':'info','time':'2024-12-16 10:53:00','message':'Bus 1 has coming to Stop D. Passengers: +4, -5. Load: 61/100.'}
{'level':'info','time':'2024-12-16 10:53:00','message':'Bus 6 has coming to Stop F. Passengers: +1, -7. Load: 44/90.'}
{'level':'info','time':'2024-12-16 10:55:00','message':'Bus 4 has coming to Stop E. Passengers: +3, -11. Load: 48/80.'}
{'level':'info','time':'2024-12-16 10:58:00','message':'Bus 3 has coming to Stop E. Passengers: +3, -12. Load: 31/150.'}
{'level':'info','time':'2024-12-16 10:58:00','message':'Bus 5 has coming to Stop F. Passengers: +1, -3. Load: 47/110.'}
{'level':'info','time':'2024-12-16 10:58:00','message':'Bus 7 has coming to Stop G. Passengers: +8, -15. Load: 45/85.'}
{'level':'info','time':'2024-12-16 11:01:00','message':'Bus 6 has coming to Stop G. Passengers: +9, -6. Load: 47/90.'}
{'level':'info','time':'2024-12-16 11:02:00','message':'Bus 2 has coming to Stop E. Passengers: +4, -9. Load: 63/150.'}
{'level':'info','time':'2024-12-16 11:04:00','message':'Bus 7 has coming to Stop H. Passengers: +14, -12. Load: 47/85.'}
{'level':'info','time':'2024-12-16 11:05:00','message':'Bus 1 has coming to Stop E. Passengers: +5, -12. Load: 54/100.'}
{'level':'info','time':'2024-12-16 11:05:00','message':'Bus 4 has coming to Stop F. Passengers: +3, -5. Load: 46/80.'}
{'level':'info','time':'2024-12-16 11:06:00','message':'Bus 5 has coming to Stop G. Passengers: +4, -11. Load: 40/110.'}
{'level':'info','time':'2024-12-16 11:07:00','message':'Bus 6 has coming to Stop H. Passengers: +11, -17. Load: 41/90.'}
{'level':'info','time':'2024-12-16 11:08:00','message':'Bus 3 has coming to Stop F. Passengers: +2, -4. Load: 29/150.'}
{'level':'info','time':'2024-12-16 11:11:00','message':'Bus 7 has coming to Stop I. Passengers: +7, -4. Load: 50/85.'}
{'level':'info','time':'2024-12-16 11:12:00','message':'Bus 2 has coming to Stop F. Passengers: +3, -7. Load: 59/150.'}
{'level':'info','time':'2024-12-16 11:12:00','message':'Bus 5 has coming to Stop H. Passengers: +5, -11. Load: 34/110.'}
{'level':'info','time':'2024-12-16 11:13:00','message':'Bus 4 has coming to Stop G. Passengers: +10, -5. Load: 51/80.'}
{'level':'info','time':'2024-12-16 11:14:00','message':'Bus 6 has coming to Stop I. Passengers: +11, -6. Load: 46/90.'}
{'level':'info','time':'2024-12-16 11:15:00','message':'Bus 1 has coming to Stop F. Passengers: +3, -5. Load: 52/100.'}
{'level':'info','time':'2024-12-16 11:16:00','message':'Bus 3 has coming to Stop G. Passengers: +10, -10. Load: 29/150.'}
{'level':'info','time':'2024-12-16 11:19:00','message':'Bus 4 has coming to Stop H. Passengers: +0, -11. Load: 40/80.'}
{'level':'info','time':'2024-12-16 11:19:00','message':'Bus 5 has coming to Stop I. Passengers: +14, -14. Load: 34/110.'}
{'level':'info','time':'2024-12-16 11:20:00','message':'Bus 2 has coming to Stop G. Passengers: +8, -8. Load: 59/150.'}
{'level':'info','time':'2024-12-16 11:22:00','message':'Bus 3 has coming to Stop H. Passengers: +2, -6. Load: 25/150.'}
{'level':'info','time':'2024-12-16 11:22:00','message':'Bus 7 has coming to Stop J. Passengers: +4, -9. Load: 45/85.'}
{'level':'info','time':'2024-12-16 11:23:00','message':'Bus 1 has coming to Stop G. Passengers: +6, -9. Load: 49/100.'}
{'level':'info','time':'2024-12-16 11:25:00','message':'Bus 6 has coming to Stop J. Passengers: +4, -13. Load: 37/90.'}
{'level':'info','time':'2024-12-16 11:26:00','message':'Bus 2 has coming to Stop H. Passengers: +4, -9. Load: 54/150.'}
{'level':'info','time':'2024-12-16 11:26:00','message':'Bus 4 has coming to Stop I. Passengers: +13, -7. Load: 46/80.'}
